player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Curtis Jones,2026-03-05,DEN,0.0,,,,,,,,,,,,
DaRon Holmes II,2026-03-05,DEN,0.0,,,,,,,,,,,,
Hunter Tyson,2026-03-05,DEN,0.0,,,,,,,,,,,,
Jalen Pickett,2026-03-05,DEN,0.0,,,,,,,,,,,,
Jamal Murray,2026-03-05,DEN,1.0,,,,,,,,,,,,
Jonas Valančiūnas,2026-03-05,DEN,0.0,,,,,,,,,,,,
Julian Strawther,2026-03-05,DEN,1.0,,,,,,,,,,,,
KJ Simpson,2026-03-05,DEN,0.0,,,,,,,,,,,,
Nikola Jokić,2026-03-05,DEN,1.0,,,,,,,,,,,,
Peyton Watson,2026-03-05,DEN,0.0,,,,,,,,,,,,
Spencer Jones,2026-03-05,DEN,0.0,,,,,,,,,,,,
Tim Hardaway Jr.,2026-03-05,DEN,0.0,,,,,,,,,,,,
Zeke Nnaji,2026-03-05,DEN,0.0,,,,,,,,,,,,
Adou Thiero,2026-03-05,LAL,0.0,,,,,,,,,,,,
Austin Reaves,2026-03-05,LAL,1.0,,,,,,,,,,,,
Bronny James,2026-03-05,LAL,0.0,,,,,,,,,,,,
Chris Mañon,2026-03-05,LAL,0.0,,,,,,,,,,,,
Dalton Knecht,2026-03-05,LAL,0.0,,,,,,,,,,,,
Deandre Ayton,2026-03-05,LAL,1.0,,,,,,,,,,,,
Drew Timme,2026-03-05,LAL,0.0,,,,,,,,,,,,
Jake LaRavia,2026-03-05,LAL,0.0,,,,,,,,,,,,
Jarred Vanderbilt,2026-03-05,LAL,0.0,,,,,,,,,,,,
Jaxson Hayes,2026-03-05,LAL,0.0,,,,,,,,,,,,
Kobe Bufkin,2026-03-05,LAL,0.0,,,,,,,,,,,,
LeBron James,2026-03-05,LAL,1.0,,,,,,,,,,,,
Luka Dončić,2026-03-05,LAL,1.0,,,,,,,,,,,,
Luke Kennard,2026-03-05,LAL,0.0,,,,,,,,,,,,
Marcus Smart,2026-03-05,LAL,1.0,,,,,,,,,,,,
Maxi Kleber,2026-03-05,LAL,0.0,,,,,,,,,,,,
Nick Smith Jr.,2026-03-05,LAL,0.0,,,,,,,,,,,,
Rui Hachimura,2026-03-05,LAL,0.0,,,,,,,,,,,,
Daeqwon Plowden,2026-03-05,SAC,0.0,,,,,,,,,,,,
Dario Šarić,2026-03-05,SAC,0.0,,,,,,,,,,,,
De'Andre Hunter,2026-03-05,SAC,0.0,,,,,,,,,,,,
DeMar DeRozan,2026-03-05,SAC,1.0,,,,,,,,,,,,
Devin Carter,2026-03-05,SAC,0.0,,,,,,,,,,,,
Domantas Sabonis,2026-03-05,SAC,0.0,,,,,,,,,,,,
Doug McDermott,2026-03-05,SAC,0.0,,,,,,,,,,,,
Drew Eubanks,2026-03-05,SAC,0.0,,,,,,,,,,,,
Dylan Cardwell,2026-03-05,SAC,0.0,,,,,,,,,,,,
Isaiah Stevens,2026-03-05,SAC,0.0,,,,,,,,,,,,
Keegan Murray,2026-03-05,SAC,0.0,,,,,,,,,,,,
Killian Hayes,2026-03-05,SAC,0.0,,,,,,,,,,,,
Malik Monk,2026-03-05,SAC,0.0,,,,,,,,,,,,
Maxime Raynaud,2026-03-05,SAC,1.0,,,,,,,,,,,,
Nique Clifford,2026-03-05,SAC,1.0,,,,,,,,,,,,
Patrick Baldwin Jr.,2026-03-05,SAC,0.0,,,,,,,,,,,,
Precious Achiuwa,2026-03-05,SAC,1.0,,,,,,,,,,,,
