player_key,player_name,hometown_teams,profile_updated_at,profile_source
hunter tyson,Hunter Tyson,DEN,2026-03-12T22:08:14.232239+00:00,https://en.wikipedia.org/wiki/Hunter_Tyson
immanuel quickley,Immanuel Quickley,BKN|NYK|OKC|TOR,2026-03-12T02:22:53.389669+00:00,https://en.wikipedia.org/wiki/Immanuel_Quickley
isaac okoro,Isaac Okoro,CHI,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Isaac_Okoro
isaiah collier,Isaiah Collier,UTA,2026-03-12T03:24:23.136791+00:00,https://en.wikipedia.org/wiki/Isaiah_Collier
isaiah crawford,Isaiah Crawford,HOU|NOP,2026-03-12T04:17:02.221588+00:00,https://en.wikipedia.org/wiki/Isaiah_Crawford
isaiah hartenstein,Isaiah Hartenstein,OKC,2026-03-12T22:40:14.035766+00:00,https://en.wikipedia.org/wiki/Isaiah_Hartenstein
isaiah jackson,Isaiah Jackson,IND|LAC|LAL,2026-03-12T04:55:35.259378+00:00,https://en.wikipedia.org/wiki/Isaiah_Jackson_(basketball)
isaiah joe,Isaiah Joe,OKC,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Isaiah_Joe
isaiah livers,Isaiah Livers,DET|PHX,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Isaiah_Livers
isaiah stevens,Isaiah Stevens,DEN|SAC,2026-03-12T01:03:12.890496+00:00,https://en.wikipedia.org/wiki/Isaiah_Stevens
isaiah stewart,Isaiah Stewart,DET|WAS,2026-03-12T22:53:22.762786+00:00,https://en.wikipedia.org/wiki/Isaiah_Stewart
ivica zubac,Ivica Zubac,IND|LAC|LAL,2026-03-12T04:55:35.259378+00:00,https://en.wikipedia.org/wiki/Ivica_Zubac
jd davison,JD Davison,HOU,2026-03-12T04:18:14.764822+00:00,https://en.wikipedia.org/wiki/JD_Davison
ja morant,Ja Morant,MEM,2026-03-12T22:40:14.035766+00:00,https://en.wikipedia.org/wiki/Ja_Morant
ja kobe walter,Ja'Kobe Walter,TOR,2026-03-12T02:25:56.148510+00:00,https://en.wikipedia.org/wiki/Ja'Kobe_Walter
jabari smith jr,Jabari Smith Jr.,HOU,2026-03-12T04:10:08.812817+00:00,https://en.wikipedia.org/wiki/Jabari_Smith_Jr.
jabari walker,Jabari Walker,DEN|GSW|LAC|LAL,2026-03-12T22:53:22.762786+00:00,https://en.wikipedia.org/wiki/Jabari_Walker
jaden hardy,Jaden Hardy,WAS,2026-03-10T23:36:01.050229+00:00,https://en.wikipedia.org/wiki/Jaden_Hardy
