player_name,team,opponent,starter,injury_status,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points
Goga Bitadze,ORL,DAL,0.0,,low,54.26,45.74,2.48,5.42,5.62,1.07,12.11,17.7,19.08
Gradey Dick,TOR,MIN,0.0,,low,25.01,74.99,3.27,4.37,1.77,0.59,6.72,8.52,8.38
Grant Nelson,BKN,MIA,0.0,,low,20.14,79.86,4.49,5.63,1.86,1.42,8.91,13.59,14.96
Grayson Allen,PHX,CHI,0.0,,medium,65.0,35.0,5.97,17.06,2.84,4.36,24.26,31.71,30.76
Guerschon Yabusele,CHI,PHX,1.0,,low,41.74,58.26,5.39,9.26,5.43,2.53,17.21,21.75,20.95
Gui Santos,GSW,HOU,1.0,,low,26.08,73.92,6.0,8.12,6.1,2.59,16.82,23.76,24.3
Herbert Jones,NOP,SAC,1.0,,low,54.18,45.82,4.36,9.53,4.77,2.98,17.28,24.78,25.67
Hunter Tyson,DEN,LAL,0.0,,low,33.5,66.5,1.18,1.77,1.35,0.54,3.66,4.59,4.38
Immanuel Quickley,TOR,MIN,1.0,,high,75.07,24.93,3.85,15.42,3.9,6.89,26.21,33.37,32.08
Isaac Jones,DET,SAS,0.0,,low,0.0,119.6,2.3,1.92,0.4,0.27,2.59,2.95,2.93
Isaac Okoro,CHI,PHX,1.0,,medium,55.88,44.12,3.58,8.12,2.76,2.4,13.28,17.86,18.11
Isaiah Collier,UTA,WAS,1.0,,medium,62.16,37.84,5.57,14.72,3.78,8.68,27.18,35.86,36.55
Isaiah Crawford,HOU,GSW,0.0,,low,10.36,89.64,1.07,1.19,0.69,0.36,2.24,3.65,3.91
Isaiah Livers,PHX,CHI,0.0,,low,36.81,63.19,1.3,2.06,1.98,0.65,4.7,6.68,6.81
Isaiah Stevens,SAC,NOP,0.0,,low,43.53,56.47,1.94,3.43,1.01,3.69,8.13,13.73,15.24
Isaiah Stewart,DET,SAS,0.0,,medium,60.52,39.48,3.28,8.31,4.81,1.05,14.16,19.99,21.19
JD Davison,HOU,GSW,0.0,,low,20.56,79.44,1.62,2.03,0.89,0.91,3.84,5.18,5.13
Ja'Kobe Walter,TOR,MIN,0.0,,low,28.42,71.58,4.05,5.66,2.0,1.02,8.68,12.1,12.22
Jabari Smith Jr.,HOU,GSW,1.0,Questionable,medium,67.99,32.01,4.34,13.55,8.47,1.73,23.76,30.41,29.95
Jaden Hardy,WAS,UTA,0.0,,low,9.05,90.95,10.93,12.01,1.83,1.87,15.71,18.55,17.34
Jaden McDaniels,MIN,TOR,1.0,,medium,64.36,35.64,5.16,14.48,4.62,2.45,21.55,27.67,27.7
Jahmir Young,MIA,BKN,0.0,,low,46.3,53.7,0.89,1.66,0.56,0.63,2.85,3.76,3.66
Jaime Jaquez Jr.,MIA,BKN,0.0,,medium,66.65,33.35,4.56,13.69,4.86,4.49,23.04,27.81,27.22
Jake LaRavia,LAL,DEN,0.0,,low,46.77,53.23,4.19,7.87,3.27,1.44,12.59,17.51,18.08
Jakob Poeltl,TOR,MIN,1.0,,medium,59.42,40.58,3.73,9.2,7.87,2.21,19.28,24.78,25.22
Jalen Duren,DET,SAS,1.0,,high,76.5,23.5,4.32,18.37,10.73,1.94,31.04,38.77,37.34
Jalen Green,PHX,CHI,1.0,,medium,56.68,43.32,7.97,18.4,3.63,2.09,24.13,30.0,28.99
Jalen Pickett,DEN,LAL,0.0,,low,8.99,91.01,4.43,4.86,2.25,1.86,8.97,11.48,10.94
Jalen Smith,CHI,PHX,0.0,Doubtful,low,53.83,46.17,4.14,8.97,6.44,1.04,16.46,21.11,20.66
Jalen Suggs,ORL,DAL,1.0,,high,70.43,29.57,4.21,14.23,4.11,5.27,23.62,32.82,33.39
Jalen Wilson,BKN,MIA,0.0,,low,13.81,86.19,3.16,3.67,1.37,0.55,5.58,7.12,6.81
Jamal Cain,ORL,DAL,0.0,,low,20.95,79.05,1.77,2.23,0.86,0.37,3.46,4.48,4.49
Jamal Murray,DEN,LAL,1.0,,high,77.35,22.65,5.23,23.08,3.98,7.25,34.3,42.44,40.9
Jamal Shead,TOR,MIN,0.0,,medium,59.24,40.76,2.85,6.99,2.04,5.22,14.25,19.36,19.21
